id,name
26dSoYclwsYLMAKD3tpOr4,Britney Spears
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC
2HcwFjNelS49kFbfvMxQYw,Robbie Williams
7dGJo4pcD2V6oG8kP0tJRR,Eminem
6FBDaR13swtiWwGhX1WQsP,blink-182
58lV9VcRSjABbAbfWS6skp,Bon Jovi
6tbjWDEIzxoDsBA1FuhfPW,Madonna
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera
6GI52t8N5F02MxU0g5U69P,Santana
06Q5VlSAku57lFzyME3HrM,Ke Personajes
3yj43IXk2ADWZ9y6Q2oRMK,Japiaguar
3W4lVkySjtIvd67UUg0F3i,Cabas
0caLxEeeNrpE0noxdInoGe,Obie Bermudez
0Up8AZmXDecXiMirZhRLmw,Alberto Plaza
4TK1gDgb7QKoPFlzRrBRgR,Los Enanitos Verdes
1QWZE0CuKISG4P68ykP56E,Jeremías
7FsRH5bw8iWpSbMX1G7xf1,Joan Sebastian
3TeeQbrzmVZuuApblGwM4V,Gian Marco
6ESkuwldylZr39AIAPC63J,Alejandro Lerner
4VIU80QkcrMEdKoiWmnWvr,Cómplices
5B6H1Dq77AV1LZWrbNsuH5,Jarabe De Palo
2nszmSgqreHSdJA3zWPyrW,Luis Miguel
0h1zs4CTlU9D2QtgPxptUD,Ricardo Arjona
5mXMQJHLLfym1KyNcDrhoZ,Nek
0UWZUmn7sybxMCqrw9tGa7,Juanes
1mux8L6xg2Cmrc7k0wQczl,Bacilos
5oYHL2SijkMY52gKIhYJNb,Elefante
5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz
5e4Dhzv426EvQe3aDb64jL,Shania Twain
27T030eWyCQRmDyuvr1kxY,Scorpions
66ihevNkSYNzRAl44dx6jJ,Carin Leon
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera
2rqtqFiCGyzaRSYdgMiMNC,18 Kilates
1dpnxi6xgoB2kaRYnnoatZ,Miguel Ríos
4kcQWQDK0u9AftVSpdrAgk,Luck Ra
3aiVpKhE6bg52ZvxMDmlip,Nico Hernández
13N9NShchIr3m8hgyVqrRg,Maria Jose Quintanilla
4GepMkTgrIZECoCC55vqjW,Marama
6ErWcvENroWPWdNo9Toly6,We Are Fine
2OhUNb01gLwygOizYvTm0e,Big One
6IE6z7DcZIT4Ml3Fh5Ivch,Selena
1QZuAtDYNrk2QMogJulsyq,Karina
3ucYybVr1mTuB04HtoBDCc,El Polaco
3zoMlg6gx6K4NcGE15qtCF,Santi Celli
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra
72kCHSLbK0D94Bgpo7G4sJ,Roman El Original
5JMJt80HJWR1e4hMw63Z5t,Luis Vega
22P1OY4TRFRwhP0q29loQ8,Lali
0TqIqqSqiZQaWUZaoGGHVJ,Germán Barceló
4pv1Jo4PbYI8LMADJoTWjE,Olga Tañón
53KTldaJ8tHSkYU3nigfwP,Fonseca
5dbaLmK5SHLLg8Z4CcTJpX,Greeicy
2urF8dgLVfDjunO0pcHUEe,Alvaro Soler
0haZhu4fFKt0Ag94kZDiz2,Sofía Reyes
790FomKkXshlbRYZFtlgla,KAROL G
1r4hJ1h58CWwUQe3MxPuau,Maluma
0jbo7KFNMiIkfBR6ih0yhm,iñigo quintero
1oE7Qu3oJjxsCMKGauY7rp,Fabio Zambrana
2Q6L4B0awar0BWcQOWsAvu,Mono Zabaleta
44hJXrVhoyA1fV1dn4wdHC,VI-EM
28gNT5KBp7IjEOQoevXf9N,Camilo
2SzdXGFgRUgygnqrqmsW9W,Alejandro González
0lNg9YtW8USxeZZnEqz3RQ,Dasoul
2BTS8Np1YzPQuXjgdlqsBB,Emanero
4gwpcMTbLWtBUlOijbVpuu,Capital Cities
0DxeaLnv6SyYk2DOqkLO8c,MAGIC!
2AsusXITU8P25dlRNhcAbG,Gotye
6T5tfhQCknKG4UnH90qGnz,DNCE
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner
0MlOPi3zIDMVrfA9R04Fe3,American Authors
0FAy2x6lq3wFEMBqxDN8gR,Michael Mk.
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding
587PA35pRGL1JwQr6idJbb,NEIL FRANCES
041iTeoMIwXMlShuQPIVKo,Klangkarussell
7CajNmpbOovFoOoasH2HaY,Calvin Harris
63MQldklfxkjYDoUE4Tppz,M83
00dwwnz3V4kRfu3UFYpJLz,Cherub
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn
5DUlefCLzVRzNWaNURTFpK,Cali Y El Dandee
2wkoKEfS6dXwThbyTnZWFU,Mau y Ricky
2NfSBtmWe7oPw1EmetJVso,Boza
7vXDAI8JwjW531ouMGbfcp,TINI
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo
5NS0854TqZQVoRmJKSWtFZ,Chino & Nacho
6HWumjoLO58NYInUHk9565,El Vega
11wOrJLuakmQqTuhXXW2xz,Sie7e
1phfTBIocBW3UwqcYjaEN6,Mike Bahía
5GNSVtCq2hiXDx7jUA5Iou,ChiChi Peralta
39yVoqm6sYFvvqF1RciUVf,Carlos Rivera
3smfreCkyJt7bShaTYpG77,Carlos Baute
4bw2Am3p9ji3mYsXNXtQcd,Piso 21
4dqi10p8S91S2ChvcWsi1L,Andy & Lucas
1mX1TWKpNxDSAH16LgDfiR,Jesse & Joy
31ssL4vVxWfRGOMy8l2hEm,Soraya
3LKXWvXFWrkwUzJWxzwVpW,Tony Dize
7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin
3ATyg4fGC9F8trfb0GRWmX,Joey Montana
2DspEsT7UXGKd2VaaedgG4,Alex Rose
3wguwjQfKIni7Ih0FIHTq6,Reggi El Autentico
2Htm0q72SjGSmsy8EOIhRG,Los Palmeras
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules
3HrbmsYpKjWH1lzhad7alj,Los Auténticos Decadentes
0eecdvMrqBftK0M1VKhaF4,CNCO
0ozdcqmICsOZDe7eJQVzrp,Rick & Renner
31TPClRtHm23RisEBtV3X7,Justin Timberlake
6SGCqG5HEr5gFZR9ct8wID,Matías Valdez
5Rj6rNR8zIlUUDCs1OyPmW,MYA
4vhNDa5ycK0ST968ek7kRr,Carlos Vives
21451j1KhjAiaYKflxBjr1,Zion & Lennox
6BMQo3hxi4qwLiZpHKK5iL,A.B. Quintanilla III Y Los Kumbia Kings
7HXJp9OMIL5tdwZYleuBvy,Alejandro Santamaria
2oM7LqPaoCUcHHHnsTtgn1,Bonny Lovy
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin
14zUHaJZo1mnYtn6IBRaRP,Justin Quiles
1EXjXQpDx2pROygh8zvHs4,Melendi
10qDQKbmh8qV5LDCFtHLIw,Voz Veis
06HL4z0CvFAxyc27GXpf02,Taylor Swift
3UCKDQvhXwfNt0hXA30aMV,90´s Pop Tour
7xeM7V59cA1X8GKyKKQV87,Sin Bandera
2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago
2AZOALDIBORfbzKTuliwdJ,Cristian Castro
2ydE5oBt6cwsDxH1TpIFmO,Los Nocheros
4aeIWo5CMF1uRmqgJdwkZW,Joaquín Sabina
0LALueHEQunQ2d61fXGeZh,Diego Torres
08xFgTEmizKwzfDSbxvODp,MDO
6SGvRyZuaSuWmP6IWUKpGf,Kenny Man
4PFgfReja3r59JaekHpeuf,El Taiger
4ooyae64t1DFiWd1UnJ5d4,Octavia
2wZmh2ddEInC5pzZ8O68lt,Ramón Orlando
27vNK840zYq6IfDijHPsv1,Gilberto Santa Rosa
4yNdrUaF54csrLixVTnqzC,Eddy Herrera
1c22GXH30ijlOfXhfLz9Df,Elvis Crespo
1S0uvW1rgvtkNGma9su3fJ,Rey Ruiz
6w1XCiB8efbfnusJ2jzmvu,Proyecto Uno
3yHLsTJ9OZ19qwY1Q5BEQJ,Binomio de Oro de América
1Uz4WPsI4VylKT6lhJiDO5,Paco Barrón y sus Norteños Clan
2qWNYueLfc979iEdLOIK2C,Grupo Limite
48zixAu4wMDZwpVbOenDU7,Grupo Cañaveral De Humberto Pabón
0OPjgWTre3WA03VewbWbm8,Alberto Y Roberto
28NFZuZbEm7yzMpv1q1Rb7,Grupo Mojado
0Suv0tRrNrUlRzAy8aXjma,Haddaway
4DVdwdF2lyVtTLTYjlzYoF,Ciaobella
6deZN1bslXzeGvOLaLMOIF,Nickelback
0EmeFodog0BfCgMzAIvKQp,Shakira
3JkgQ8Jjwt2mkeOsg5yhqh,Alexander Acha
2HtEBtekn0bXogyogD3PTr,Victor & Leo
2gRP1Ezbtj3qrERnd0XasU,Camila
1Ek9jyT3RHHP5sJQRTwf2U,"Alex, Jorge Y Lena"
4RjamFQJNT8nVbTKXJDJgv,Kalimba
5ClJtuiNlr83ua45Dvpcf7,Santiago Cruz
0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco
04gDigrS5kc9YWfZHwBETP,Maroon 5
2MqhkhX4npxDZ62ObR5ELO,Hoobastank
2S9W9aSAd7e5mp8WqWxN2h,Hilary Duff
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony
3r17AfJCCUqC9Lf0OAc73G,Fergie
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne
4phGZZrJZRo4ElhRtViYdl,Jason Mraz
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton
32WkQRZEVKSzVAAYqukAEA,Lady A
7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys
4PdggFNYwGfjRfkdG5OfES,#TocoParaVos
711MCceyCBcFnzjGY4Q7Un,AC/DC
1vCWHaC5f2uS3yhpwWbIA6,Avicii
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
5sm0jQ1mq0dusiLtDJ2b4R,Eric Prydz
5M0Y6NBi3Wfwo2H1gtPl1L,Global Deejays
4EhiIwwMPecLznwn87sRw2,Joachim Garraud
3iDD7bnsjL9J4fO298r0L0,Chicago
43sZBwHjahUvgbx1WNIkIz,Creed
5nGIFgo0shDenQYSE0Sn7c,Evanescence
1LZEQNv7sE11VDY3SdxQeN,Bee Gees
26bcq2nyj5GB7uRr558iQg,Survivor
4ME85YvMUi1hdqhbind7gy,Guru Josh Project
3MdG05syQeRYPPcClLaUGl,Diana Ross
3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang
